label,label_tax,pool_label,pool_tax,holdout,Baltimore,N,features,k,AUC,Acc,Spec,Sens,Prec,TP,TN,FP,FN
Viridiplantae,kingdom,Eukaryota,superkingdom,,all,360,Domains,0,0.997,0.911,0.822,1.0,0.849,45,37,8,0
Viridiplantae,kingdom,Eukaryota,superkingdom,,RNA,346,DNA,1,0.482,0.506,0.302,0.705,0.508,31,13,30,13
Viridiplantae,kingdom,Eukaryota,superkingdom,,RNA,346,DNA,2,0.832,0.747,0.744,0.75,0.75,33,32,11,11
Viridiplantae,kingdom,Eukaryota,superkingdom,,RNA,346,DNA,3,0.874,0.816,0.791,0.841,0.804,37,34,9,7
Viridiplantae,kingdom,Eukaryota,superkingdom,,RNA,346,DNA,4,0.889,0.805,0.767,0.841,0.787,37,33,10,7
Viridiplantae,kingdom,Eukaryota,superkingdom,,RNA,346,DNA,5,0.932,0.839,0.884,0.795,0.875,35,38,5,9
Viridiplantae,kingdom,Eukaryota,superkingdom,,RNA,346,DNA,6,0.938,0.851,0.93,0.773,0.919,34,40,3,10
Viridiplantae,kingdom,Eukaryota,superkingdom,,RNA,346,DNA,7,0.948,0.897,0.977,0.818,0.973,36,42,1,8
Viridiplantae,kingdom,Eukaryota,superkingdom,,RNA,346,DNA,8,0.95,0.862,0.93,0.795,0.921,35,40,3,9
Viridiplantae,kingdom,Eukaryota,superkingdom,,RNA,346,DNA,9,0.935,0.862,0.953,0.773,0.944,34,41,2,10
Viridiplantae,kingdom,Eukaryota,superkingdom,,RNA,346,AA,1,0.921,0.816,0.767,0.864,0.792,38,33,10,6
Viridiplantae,kingdom,Eukaryota,superkingdom,,RNA,346,AA,2,0.929,0.862,0.907,0.818,0.9,36,39,4,8
Viridiplantae,kingdom,Eukaryota,superkingdom,,RNA,346,AA,3,0.976,0.874,0.907,0.841,0.902,37,39,4,7
Viridiplantae,kingdom,Eukaryota,superkingdom,,RNA,346,AA,4,0.983,0.954,1.0,0.909,1.0,40,43,0,4
Viridiplantae,kingdom,Eukaryota,superkingdom,,RNA,346,PC,1,0.774,0.724,0.744,0.705,0.738,31,32,11,13
Viridiplantae,kingdom,Eukaryota,superkingdom,,RNA,346,PC,2,0.775,0.724,0.744,0.705,0.738,31,32,11,13
Viridiplantae,kingdom,Eukaryota,superkingdom,,RNA,346,PC,3,0.844,0.759,0.814,0.705,0.795,31,35,8,13
Viridiplantae,kingdom,Eukaryota,superkingdom,,RNA,346,PC,4,0.95,0.874,0.884,0.864,0.884,38,38,5,6
Viridiplantae,kingdom,Eukaryota,superkingdom,,RNA,346,PC,5,0.967,0.874,0.93,0.818,0.923,36,40,3,8
Viridiplantae,kingdom,Eukaryota,superkingdom,,RNA,346,PC,6,0.98,0.92,0.953,0.886,0.951,39,41,2,5
Viridiplantae,kingdom,Eukaryota,superkingdom,,RNA,346,Domains,0,0.977,0.966,0.953,0.977,0.956,43,41,2,1
